imgName,tesseract,openALPR,match
1.png,HL72BYGP,HL72BYGP1.png,HL72BYGP,HL72BYGP,true
0.png,Z2CN154GP,ZCW154GP0.png,Z2CN154GP,ZCW154GP,false
1.png,HL72BYGP,HL72BYGP1.png,HL72BYGP,HL72BYGP,true
0.png,Z2CN154GP,ZCW154GP0.png,Z2CN154GP,ZCW154GP,false
1,HL7ZBYGP,HL72BYGP1,HL7ZBYGP,HL72BYGP,false
0,Z2CN154GP,ZCW154GP0,Z2CN154GP,ZCW154GP,false
1.png,HL72BYGP,HL72BYGP1.png,HL72BYGP,HL72BYGP,true
0.png,Z2CN154GP,ZCW154GP0.png,Z2CN154GP,ZCW154GP,false
1.png,HL72BYGP1.png,HL72BYGP,false
0.png,ZCW154GP0.png,ZCW154GP,false
1.png,HL72BYGP1.png,HL72BYGP,false
0.png,ZCW154GP0.png,ZCW154GP,false
1.png,HL72BYGP1.png,HL72BYGP,false
0.png,ZCW154GP0.png,ZCW154GP,false
1.png,HL72BYGP1.png,HL72BYGP,false
0.png,ZCW154GP0.png,ZCW154GP,false
1.png,HL72BYGP1.png,HL72BYGP,false
0.png,ZCW154GP0.png,ZCW154GP,false
1.png,HL72BYGP1.png,HL72BYGP,false
0.png,ZCW154GP0.png,ZCW154GP,false
1.png,HL72BYGP1.png,HL72BYGP,false
0.png,ZCW154GP0.png,ZCW154GP,false
1.png,HL72BYGP1.png,HL72BYGP,false
0.png,ZCW154GP0.png,ZCW154GP,false
11.jpg,JKMO84EC,JKM084EC11.jpg,JKMO84EC,JKM084EC,false
1.jpg,HL7ZBYGP,HL72BYGP1.jpg,HL7ZBYGP,HL72BYGP,false
2.jpg,DB22xXDG9,DB22XDGP2.jpg,DB22xXDG9,DB22XDGP,false
10.jpg,DK40LSGP,DK40LSGP10.jpg,DK40LSGP,DK40LSGP,true
12.jpg,HML612EC,HML612EC12.jpg,HML612EC,HML612EC,true
1.jpg,HL7ZBYGP,HL72BYGP1.jpg,HL7ZBYGP,HL72BYGP,false
3.jpg,JKMO84EC,JKM084EC3.jpg,JKMO84EC,JKM084EC,false
5.jpg,,5.jpg,,,true
4.jpg,HML612EC,HML612EC4.jpg,HML612EC,HML612EC,true
1.jpg,HL7ZBYGP,HL72BYGP1.jpg,HL7ZBYGP,HL72BYGP,false
2.jpg,DK40LSGP,DK40LSGP2.jpg,DK40LSGP,DK40LSGP,true
0.jpg,2CN154GP,ZCW154GP0.jpg,2CN154GP,ZCW154GP,false
0.jpg,0.jpg,,false
12.jpg,12.jpg,,false
1.jpg,1.jpg,,false
13.jpg,13.jpg,,false
11.jpg,11.jpg,,false
10.jpg,10.jpg,,false
.DS_Store,.DS_Store,,false
0.jpg,DB22xXDG9,DB22XDGP0.jpg,DB22xXDG9,DB22XDGP,false
10.jpg,HML612EC,HML612EC10.jpg,HML612EC,HML612EC,true
1.jpg,KEVALI4,KEVALI4GP1.jpg,KEVALI4,KEVALI4GP,false
.DS_Store,.DS_Store,,false
0.jpg,DB22xXDG9,DB22XDGP0.jpg,DB22xXDG9,DB22XDGP,false
3.jpg,DB22xXDG9,DB22XDGP3.jpg,DB22xXDG9,DB22XDGP,false
5.jpg,HML612EC,HML612EC5.jpg,HML612EC,HML612EC,true
11.jpg,DK40LSGP,DK40LSGP11.jpg,DK40LSGP,DK40LSGP,true
12.jpg,JKMO84EC,JKM084EC12.jpg,JKMO84EC,JKM084EC,false
8.jpg,FF83JSGP,FF83JSGP8.jpg,FF83JSGP,FF83JSGP,true
10.jpg,DB54ZYGP,DB54ZYGP10.jpg,DB54ZYGP,DB54ZYGP,true
2.jpg,HML612EC,HML612EC2.jpg,HML612EC,HML612EC,true
6.jpg,DP16YBGP,DP16YBGP6.jpg,DP16YBGP,DP16YBGP,true
7.jpg,YFL421GP,YFL421GP7.jpg,YFL421GP,YFL421GP,true
13.jpg,HML612EC,HML612EC13.jpg,HML612EC,HML612EC,true
1.jpg,KEVALI4,KEVALI4GP1.jpg,KEVALI4,KEVALI4GP,false
9.jpg,DS7OPBGP,DS70PBGP9.jpg,DS7OPBGP,DS70PBGP,false
4.jpg,KEVALI4,KEVALI4GP4.jpg,KEVALI4,KEVALI4GP,false
.DS_Store,.DS_Store,,false
0.jpg,DB22xXDG9,DB22XDGP0.jpg,DB22xXDG9,DB22XDGP,false
12.jpg,JCOSGBGP,JC09GBGP12.jpg,JCOSGBGP,JC09GBGP,false
11.jpg,DB54ZYGP,DB54ZYGP11.jpg,DB54ZYGP,DB54ZYGP,true
10.jpg,HML612EC,HML612EC10.jpg,HML612EC,HML612EC,true
1.jpg,KEVALI4,KEVALI4GP1.jpg,KEVALI4,KEVALI4GP,false
14.jpg,JKMO84EC,JKM084EC14.jpg,JKMO84EC,JKM084EC,false
13.jpg,DK40LSGP,DK40LSGP13.jpg,DK40LSGP,DK40LSGP,true
